k,avg_top_k_acc,scoring_method,ms2scorer
1,5.8325919202162115,Only-MS$^2$,CFM-ID
2,11.34280666438108,Only-MS$^2$,CFM-ID
3,16.02459386648087,Only-MS$^2$,CFM-ID
4,20.330321548082967,Only-MS$^2$,CFM-ID
5,23.59503419722464,Only-MS$^2$,CFM-ID
6,26.1488002581519,Only-MS$^2$,CFM-ID
7,28.45882859457223,Only-MS$^2$,CFM-ID
8,30.099704038045772,Only-MS$^2$,CFM-ID
9,31.75645959844277,Only-MS$^2$,CFM-ID
10,32.99163753853183,Only-MS$^2$,CFM-ID
11,34.354955849944396,Only-MS$^2$,CFM-ID
12,36.00482652004248,Only-MS$^2$,CFM-ID
13,37.28068643699238,Only-MS$^2$,CFM-ID
14,38.36716948679475,Only-MS$^2$,CFM-ID
15,39.18041960762492,Only-MS$^2$,CFM-ID
16,40.121371408878474,Only-MS$^2$,CFM-ID
17,41.158304512438264,Only-MS$^2$,CFM-ID
18,42.316928270392395,Only-MS$^2$,CFM-ID
19,43.23211260212667,Only-MS$^2$,CFM-ID
20,43.964033475857214,Only-MS$^2$,CFM-ID
1,10.544224201210884,LC-MS$^2$Struct,CFM-ID
2,18.279180754707962,LC-MS$^2$Struct,CFM-ID
3,24.058185638712825,LC-MS$^2$Struct,CFM-ID
4,28.346495640668767,LC-MS$^2$Struct,CFM-ID
5,31.989921050503757,LC-MS$^2$Struct,CFM-ID
6,34.98175960595495,LC-MS$^2$Struct,CFM-ID
7,37.34683778075012,LC-MS$^2$Struct,CFM-ID
8,39.2895005594562,LC-MS$^2$Struct,CFM-ID
9,41.2306332334579,LC-MS$^2$Struct,CFM-ID
10,42.82595659776571,LC-MS$^2$Struct,CFM-ID
11,44.34974840734552,LC-MS$^2$Struct,CFM-ID
12,45.815368208886525,LC-MS$^2$Struct,CFM-ID
13,46.97262867378849,LC-MS$^2$Struct,CFM-ID
14,48.054150789811146,LC-MS$^2$Struct,CFM-ID
15,49.112592441266116,LC-MS$^2$Struct,CFM-ID
16,50.13436863214884,LC-MS$^2$Struct,CFM-ID
17,50.98155067606785,LC-MS$^2$Struct,CFM-ID
18,51.90291799867824,LC-MS$^2$Struct,CFM-ID
19,52.64981617223567,LC-MS$^2$Struct,CFM-ID
20,53.31091068260876,LC-MS$^2$Struct,CFM-ID
1,6.0773052781340535,MS$^2$+RT,CFM-ID
2,11.580379122780416,MS$^2$+RT,CFM-ID
3,16.355852810518147,MS$^2$+RT,CFM-ID
4,20.579624358216225,MS$^2$+RT,CFM-ID
5,23.898794948888586,MS$^2$+RT,CFM-ID
6,26.410306661213337,MS$^2$+RT,CFM-ID
7,28.661275496806272,MS$^2$+RT,CFM-ID
8,30.411569298174474,MS$^2$+RT,CFM-ID
9,32.011159187595744,MS$^2$+RT,CFM-ID
10,33.39734583176468,MS$^2$+RT,CFM-ID
11,34.59568805759864,MS$^2$+RT,CFM-ID
12,36.26754442821768,MS$^2$+RT,CFM-ID
13,37.513628029157985,MS$^2$+RT,CFM-ID
14,38.64724964565921,MS$^2$+RT,CFM-ID
15,39.48920754523039,MS$^2$+RT,CFM-ID
16,40.45416193990022,MS$^2$+RT,CFM-ID
17,41.41231419658855,MS$^2$+RT,CFM-ID
18,42.54515713199957,MS$^2$+RT,CFM-ID
19,43.427871624348775,MS$^2$+RT,CFM-ID
20,44.335093853283794,MS$^2$+RT,CFM-ID
1,6.5430900387424495,MS$^2$+logP,CFM-ID
2,12.652396323788967,MS$^2$+logP,CFM-ID
3,16.963095961015927,MS$^2$+logP,CFM-ID
4,20.589542871317548,MS$^2$+logP,CFM-ID
5,23.386565566585617,MS$^2$+logP,CFM-ID
6,25.86707620023174,MS$^2$+logP,CFM-ID
7,28.296924576909326,MS$^2$+logP,CFM-ID
8,30.08620417029223,MS$^2$+logP,CFM-ID
9,31.56350553893907,MS$^2$+logP,CFM-ID
10,33.1613766272654,MS$^2$+logP,CFM-ID
11,34.662990256439706,MS$^2$+logP,CFM-ID
12,36.012422697623734,MS$^2$+logP,CFM-ID
13,37.27120698527124,MS$^2$+logP,CFM-ID
14,38.15563206366494,MS$^2$+logP,CFM-ID
15,39.055744741346565,MS$^2$+logP,CFM-ID
16,40.11701548244709,MS$^2$+logP,CFM-ID
17,41.00436095100351,MS$^2$+logP,CFM-ID
18,41.82240207405135,MS$^2$+logP,CFM-ID
19,42.63665563307855,MS$^2$+logP,CFM-ID
20,43.26806604897848,MS$^2$+logP,CFM-ID
1,7.060267117176584,MS$^2$+RO,CFM-ID
2,13.231791549406264,MS$^2$+RO,CFM-ID
3,18.35100939152692,MS$^2$+RO,CFM-ID
4,22.896708669505248,MS$^2$+RO,CFM-ID
5,26.93228374847041,MS$^2$+RO,CFM-ID
6,29.78383937885347,MS$^2$+RO,CFM-ID
7,31.933183333674126,MS$^2$+RO,CFM-ID
8,33.74398991876539,MS$^2$+RO,CFM-ID
9,35.74576880388778,MS$^2$+RO,CFM-ID
10,37.35581717353944,MS$^2$+RO,CFM-ID
11,39.02502431264957,MS$^2$+RO,CFM-ID
12,40.421377046741036,MS$^2$+RO,CFM-ID
13,41.86063344550752,MS$^2$+RO,CFM-ID
14,43.13175640931639,MS$^2$+RO,CFM-ID
15,44.15558398885318,MS$^2$+RO,CFM-ID
16,45.23026180688887,MS$^2$+RO,CFM-ID
17,46.188910629872254,MS$^2$+RO,CFM-ID
18,47.09488651772448,MS$^2$+RO,CFM-ID
19,48.081855820843174,MS$^2$+RO,CFM-ID
20,48.9141786112687,MS$^2$+RO,CFM-ID
1,6.851700101659529,Only-MS$^2$,MetFrag
2,13.195686135370316,Only-MS$^2$,MetFrag
3,18.1128461690958,Only-MS$^2$,MetFrag
4,22.83673682860553,Only-MS$^2$,MetFrag
5,26.40056481315997,Only-MS$^2$,MetFrag
6,29.375363939648274,Only-MS$^2$,MetFrag
7,31.767114145937754,Only-MS$^2$,MetFrag
8,33.35254396197543,Only-MS$^2$,MetFrag
9,35.04978403328125,Only-MS$^2$,MetFrag
10,36.88376954165698,Only-MS$^2$,MetFrag
11,38.31349451186513,Only-MS$^2$,MetFrag
12,39.67889440630274,Only-MS$^2$,MetFrag
13,41.00537582864602,Only-MS$^2$,MetFrag
14,42.08679594967563,Only-MS$^2$,MetFrag
15,43.08582094284711,Only-MS$^2$,MetFrag
16,43.96987043282724,Only-MS$^2$,MetFrag
17,44.70606791985504,Only-MS$^2$,MetFrag
18,45.633752895886516,Only-MS$^2$,MetFrag
19,46.47330224710196,Only-MS$^2$,MetFrag
20,47.17673932340642,Only-MS$^2$,MetFrag
1,14.138145567766623,LC-MS$^2$Struct,MetFrag
2,22.44789135394669,LC-MS$^2$Struct,MetFrag
3,28.658107186748836,LC-MS$^2$Struct,MetFrag
4,33.66494491447166,LC-MS$^2$Struct,MetFrag
5,37.117786206722975,LC-MS$^2$Struct,MetFrag
6,40.17671038115152,LC-MS$^2$Struct,MetFrag
7,42.49695732587508,LC-MS$^2$Struct,MetFrag
8,44.35791237649715,LC-MS$^2$Struct,MetFrag
9,46.09831792707406,LC-MS$^2$Struct,MetFrag
10,47.8246589552125,LC-MS$^2$Struct,MetFrag
11,49.356554911466304,LC-MS$^2$Struct,MetFrag
12,50.72190198087709,LC-MS$^2$Struct,MetFrag
13,52.007715834130906,LC-MS$^2$Struct,MetFrag
14,53.060922858360584,LC-MS$^2$Struct,MetFrag
15,54.20469325261585,LC-MS$^2$Struct,MetFrag
16,55.121927097853806,LC-MS$^2$Struct,MetFrag
17,56.135609907518706,LC-MS$^2$Struct,MetFrag
18,56.92284801162109,LC-MS$^2$Struct,MetFrag
19,57.780517948124235,LC-MS$^2$Struct,MetFrag
20,58.467613734954604,LC-MS$^2$Struct,MetFrag
1,7.142226047076955,MS$^2$+RT,MetFrag
2,13.620247321128357,MS$^2$+RT,MetFrag
3,18.574429875185345,MS$^2$+RT,MetFrag
4,23.208466061445645,MS$^2$+RT,MetFrag
5,26.705185163064154,MS$^2$+RT,MetFrag
6,29.609773617406198,MS$^2$+RT,MetFrag
7,31.78778949348576,MS$^2$+RT,MetFrag
8,33.430569535305594,MS$^2$+RT,MetFrag
9,35.203893122645106,MS$^2$+RT,MetFrag
10,36.99894058049939,MS$^2$+RT,MetFrag
11,38.42829280329224,MS$^2$+RT,MetFrag
12,39.674907735306476,MS$^2$+RT,MetFrag
13,40.98596254547693,MS$^2$+RT,MetFrag
14,42.064961967906896,MS$^2$+RT,MetFrag
15,42.958843035548384,MS$^2$+RT,MetFrag
16,43.76180559734531,MS$^2$+RT,MetFrag
17,44.50105934329612,MS$^2$+RT,MetFrag
18,45.405935602861355,MS$^2$+RT,MetFrag
19,46.20780222610534,MS$^2$+RT,MetFrag
20,46.86399302409455,MS$^2$+RT,MetFrag
1,7.8970436022670984,MS$^2$+logP,MetFrag
2,14.028672690995997,MS$^2$+logP,MetFrag
3,18.653817816266397,MS$^2$+logP,MetFrag
4,22.800203136303967,MS$^2$+logP,MetFrag
5,26.316377839294937,MS$^2$+logP,MetFrag
6,29.098301671035667,MS$^2$+logP,MetFrag
7,31.698761184546548,MS$^2$+logP,MetFrag
8,33.80396025882093,MS$^2$+logP,MetFrag
9,35.65084742752966,MS$^2$+logP,MetFrag
10,37.30143464503927,MS$^2$+logP,MetFrag
11,38.557515766407086,MS$^2$+logP,MetFrag
12,39.68695584759552,MS$^2$+logP,MetFrag
13,40.98400987820717,MS$^2$+logP,MetFrag
14,42.17109413827347,MS$^2$+logP,MetFrag
15,43.421430096343634,MS$^2$+logP,MetFrag
16,44.414497706332064,MS$^2$+logP,MetFrag
17,45.30391583241589,MS$^2$+logP,MetFrag
18,46.15411675475897,MS$^2$+logP,MetFrag
19,46.986217740594576,MS$^2$+logP,MetFrag
20,47.884820426214446,MS$^2$+logP,MetFrag
1,8.635728465631658,MS$^2$+RO,MetFrag
2,15.856427065794922,MS$^2$+RO,MetFrag
3,21.307631453738576,MS$^2$+RO,MetFrag
4,25.811867788453487,MS$^2$+RO,MetFrag
5,29.134567335053575,MS$^2$+RO,MetFrag
6,32.2432408345713,MS$^2$+RO,MetFrag
7,34.82082366963926,MS$^2$+RO,MetFrag
8,36.978423179571934,MS$^2$+RO,MetFrag
9,38.92216599315191,MS$^2$+RO,MetFrag
10,40.749079606715824,MS$^2$+RO,MetFrag
11,42.44752077208396,MS$^2$+RO,MetFrag
12,43.77680544963384,MS$^2$+RO,MetFrag
13,45.09003327130159,MS$^2$+RO,MetFrag
14,46.1640653724083,MS$^2$+RO,MetFrag
15,47.18979816882302,MS$^2$+RO,MetFrag
16,48.2373262489804,MS$^2$+RO,MetFrag
17,49.24691695366078,MS$^2$+RO,MetFrag
18,50.15152311822912,MS$^2$+RO,MetFrag
19,51.03998088851884,MS$^2$+RO,MetFrag
20,51.90114436814564,MS$^2$+RO,MetFrag
1,35.894611320678486,Only-MS$^2$,SIRIUS
2,49.137588201800476,Only-MS$^2$,SIRIUS
3,55.81121510635415,Only-MS$^2$,SIRIUS
4,59.851503067202614,Only-MS$^2$,SIRIUS
5,63.275531312102125,Only-MS$^2$,SIRIUS
6,65.34598171625397,Only-MS$^2$,SIRIUS
7,67.6905966170676,Only-MS$^2$,SIRIUS
8,69.38794099903022,Only-MS$^2$,SIRIUS
9,70.33827796153706,Only-MS$^2$,SIRIUS
10,71.62868261891732,Only-MS$^2$,SIRIUS
11,72.58199656670304,Only-MS$^2$,SIRIUS
12,73.07253391291557,Only-MS$^2$,SIRIUS
13,73.94750853250541,Only-MS$^2$,SIRIUS
14,74.71900171369157,Only-MS$^2$,SIRIUS
15,75.34535313231875,Only-MS$^2$,SIRIUS
16,75.88681134722033,Only-MS$^2$,SIRIUS
17,76.36226866916678,Only-MS$^2$,SIRIUS
18,76.82108383298649,Only-MS$^2$,SIRIUS
19,77.31121486868744,Only-MS$^2$,SIRIUS
20,77.60977742503732,Only-MS$^2$,SIRIUS
1,38.09160461218988,LC-MS$^2$Struct,SIRIUS
2,51.28712852112273,LC-MS$^2$Struct,SIRIUS
3,58.35027252262799,LC-MS$^2$Struct,SIRIUS
4,62.602329656875504,LC-MS$^2$Struct,SIRIUS
5,66.02257829542995,LC-MS$^2$Struct,SIRIUS
6,68.13139292654816,LC-MS$^2$Struct,SIRIUS
7,70.06179559781715,LC-MS$^2$Struct,SIRIUS
8,71.3390076948722,LC-MS$^2$Struct,SIRIUS
9,72.39840968352655,LC-MS$^2$Struct,SIRIUS
10,73.4124516394402,LC-MS$^2$Struct,SIRIUS
11,74.29774842097379,LC-MS$^2$Struct,SIRIUS
12,75.022487533104,LC-MS$^2$Struct,SIRIUS
13,75.68602054874508,LC-MS$^2$Struct,SIRIUS
14,76.23323207233774,LC-MS$^2$Struct,SIRIUS
15,76.74298646794126,LC-MS$^2$Struct,SIRIUS
16,77.39016476521319,LC-MS$^2$Struct,SIRIUS
17,77.84187341169948,LC-MS$^2$Struct,SIRIUS
18,78.28303843647683,LC-MS$^2$Struct,SIRIUS
19,78.61247197524688,LC-MS$^2$Struct,SIRIUS
20,79.06438233612784,LC-MS$^2$Struct,SIRIUS
1,34.88871822499597,MS$^2$+RT,SIRIUS
2,47.70832872552864,MS$^2$+RT,SIRIUS
3,54.12214339387287,MS$^2$+RT,SIRIUS
4,58.050470734154835,MS$^2$+RT,SIRIUS
5,61.38324922919321,MS$^2$+RT,SIRIUS
6,63.48745231690375,MS$^2$+RT,SIRIUS
7,65.72738798953657,MS$^2$+RT,SIRIUS
8,67.26163910929652,MS$^2$+RT,SIRIUS
9,68.1766211795818,MS$^2$+RT,SIRIUS
10,69.41766499015743,MS$^2$+RT,SIRIUS
11,70.34111676691903,MS$^2$+RT,SIRIUS
12,70.87401911190408,MS$^2$+RT,SIRIUS
13,71.76057481015397,MS$^2$+RT,SIRIUS
14,72.50772434791003,MS$^2$+RT,SIRIUS
15,73.0871905140664,MS$^2$+RT,SIRIUS
16,73.57515560309464,MS$^2$+RT,SIRIUS
17,74.08074626358999,MS$^2$+RT,SIRIUS
18,74.52732826558143,MS$^2$+RT,SIRIUS
19,74.89103314058923,MS$^2$+RT,SIRIUS
20,75.17404660405415,MS$^2$+RT,SIRIUS
1,35.407608749935626,MS$^2$+logP,SIRIUS
2,48.42960784984679,MS$^2$+logP,SIRIUS
3,55.16751268553739,MS$^2$+logP,SIRIUS
4,59.34566496482732,MS$^2$+logP,SIRIUS
5,62.80927243183658,MS$^2$+logP,SIRIUS
6,65.08139763588744,MS$^2$+logP,SIRIUS
7,67.13212796400406,MS$^2$+logP,SIRIUS
8,68.81216631825,MS$^2$+logP,SIRIUS
9,70.2415366525316,MS$^2$+logP,SIRIUS
10,71.14550914052744,MS$^2$+logP,SIRIUS
11,72.07795963762726,MS$^2$+logP,SIRIUS
12,72.75620423445493,MS$^2$+logP,SIRIUS
13,73.66335043385232,MS$^2$+logP,SIRIUS
14,74.29155827251891,MS$^2$+logP,SIRIUS
15,74.92944707758917,MS$^2$+logP,SIRIUS
16,75.70288079386691,MS$^2$+logP,SIRIUS
17,76.24289686819675,MS$^2$+logP,SIRIUS
18,76.75516903746015,MS$^2$+logP,SIRIUS
19,77.19950575427247,MS$^2$+logP,SIRIUS
20,77.58947299325013,MS$^2$+logP,SIRIUS
1,36.79657322978452,MS$^2$+RO,SIRIUS
2,50.26040692084965,MS$^2$+RO,SIRIUS
3,57.19455846908942,MS$^2$+RO,SIRIUS
4,61.30662652939445,MS$^2$+RO,SIRIUS
5,64.65234967695612,MS$^2$+RO,SIRIUS
6,67.11575474624634,MS$^2$+RO,SIRIUS
7,69.26715081771069,MS$^2$+RO,SIRIUS
8,70.57169281517972,MS$^2$+RO,SIRIUS
9,71.81214634707383,MS$^2$+RO,SIRIUS
10,72.92905254292334,MS$^2$+RO,SIRIUS
11,73.731877743885,MS$^2$+RO,SIRIUS
12,74.40404539957207,MS$^2$+RO,SIRIUS
13,75.19788338357425,MS$^2$+RO,SIRIUS
14,75.7899648272039,MS$^2$+RO,SIRIUS
15,76.45702213152131,MS$^2$+RO,SIRIUS
16,77.00869370831761,MS$^2$+RO,SIRIUS
17,77.52901782082584,MS$^2$+RO,SIRIUS
18,78.02438154637034,MS$^2$+RO,SIRIUS
19,78.43944771435723,MS$^2$+RO,SIRIUS
20,78.86502101475392,MS$^2$+RO,SIRIUS
